item,item_transitivity,gesturer,subject,sentence,verb,sentence_transitivity
picture-shift-IN,0,cs,13,Adjusting a picture on a wall.,adjust,1.0
hanger-swing-IN,0,rv,13,Adjusting a painting on a wall.,adjust,1.0
turn-fan-TR,1,cs,13,Adjusting a hat on a head.,adjust,1.0
adjust-picture-TR,1,cs,0,She is trying to adjust the old style antenna trying to get better tv reception.,"adjust,get",1.0
adjust-picture-TR,1,ip,16,A woman is adjusting a painting to see if she likes it on that wall.,"adjust,like",1.0
picture-shift-IN,0,cs,16,A person is adjusting a knickknack to see how it looks that way.,"adjust,see,look",0.3333333333
person-bend-over-IN,0,ho,0,She is showing the hand of a large clock slowly advancing.,advance,0.0
fan-turn-IN,0,ip,12,A cowboy aims his gun,aim,1.0
door-microwave-close-IN,0,np,70,A person airs out a curved object.,air,1.0
tape-measurer-bend-half-IN,0,cs,14,An object is allowed to fall to the side.,"allow,fall",0.5
picture-shift-IN,0,ip,70,A person allows others to pass.,"allow,pass",0.5
book-fall-over-IN,0,ho,14,A flat covering angles downward and closes on top of a flat surface.,"angle,close",0.0
toy-appear-in-box-IN,0,cs,12,A monster appears,appear,0.0
whirly-gig-drop-IN,0,np,39,A sudden rainshower appears.,appear,0.0
toy-appear-in-box-IN,0,ip,41,An object is appearing behind another object.,appear,0.0
toy-appear-in-box-IN,0,cs,41,A person appears from behind a wall and waves hello.,"appear,wave",0.0
turn-fan-TR,1,ip,12,A person applies perfume.,apply,1.0
break-stick-TR,1,rv,78,The person is applying the brakes on a motrocycle.,apply,1.0
drop-ball-TR,1,np,91,A person is applying lotion.,apply,1.0
coatrack-approach-IN,0,np,12,Someone approaches a building,approach,1.0
approach-coatrack-IN,0,np,12,An animal approaches a wall.,approach,1.0
spray-shaving-cream-TR,1,cs,12,An insect approaches a wall,approach,1.0
coatrack-approach-IN,0,cs,59,the person said to approach slowly.,approach,0.0
coatrack-approach-IN,0,cs,8,A person is approaching someone.,approach,1.0
cards-scatter-IN,0,ip,8,Birds are approaching food on the ground.,approach,1.0
approach-coatrack-IN,0,np,8,A dog is approaching his owner.,approach,1.0
approach-coatrack-IN,0,np,70,An animal approaches a wall.,approach,1.0
car-pass-tower-IN,0,ip,18,A plane is approaching the airport.,approach,1.0
approach-coatrack-IN,0,ho,42,A spider approaches a tree.,approach,1.0
coatrack-approach-IN,0,cs,70,A stationary object is approached by another object which stops moving.,"approach,stop",0.5
approach-coatrack-IN,0,np,23,A person slowing approving a situation,approve,1.0
fan-turn-IN,0,cm,70,A person is arguing.,argue,0.0
toy-appear-in-box-IN,0,np,14,A small creature with antennae arises from behind a vertical surface.,arise,0.0
turn-fan-TR,1,np,44,A person is arranging something on a shelf.,arrange,1.0
picture-shift-IN,0,np,44,A person is arranging an object on the wall.,arrange,1.0
racecar-into-box-IN,0,cs,14,A flying object ascends slightly into a wall.,ascend,0.0
pour-bottle-caps-TR,1,cs,65,The person is asking for a bottle of water.,ask,1.0
break-stick-TR,1,np,8,A person is assembling an instrument.,assemble,1.0
measure-book-TR,1,rv,12,A necklace is attached to someone's neck by someone else,attach,1.0
measure-book-TR,1,ho,12,Someone attaches a necklace around someone else's neck,attach,1.0
plug-in-TR,1,ip,78,The person is attaching an object to a grip.,attach,1.0
plug-in-TR,1,ip,71,A woman attaches a hose.,attach,1.0
stick-break-IN,0,cs,14,"A section attaches to an elevated object, then lifts upward and falls to the side.","attach,lift,fall",0.0
hanger-swing-IN,0,np,14,A small object is attached to a fulcrum and swings back and forth several times.,"attach,swing",0.5
spray-shaving-cream-TR,1,ip,18,Something is attacking something else.,attack,1.0
hit-bottle-with-ball-TR,1,ip,18,Someone is attacking something.,attack,1.0
toy-crawl-IN,0,cs,29,An animal is attacking some other creature.,attack,1.0
spray-shaving-cream-TR,1,ip,23,An animal attacking something,attack,1.0
spray-shaving-cream-TR,1,cs,70,An object attracts an insect to hover.,"attract,hover",0.5
door-microwave-close-IN,0,ho,70,An object is attracted to a stationary object which it touches and then it moves away.,"attract,touch,move",0.3333333333
racecar-into-box-IN,0,ip,8,A car is avoiding an accident.,avoid,1.0
poster-roll-up-IN,0,cs,71,A swan awakes and takes off.,"awaken,take",0.0
walk-backwards-IN,0,ho,16,A woman is backing away from something.,back,0.0
walk-backwards-IN,0,ho,4,She was backing up in traffic.,back,0.0
walk-backwards-IN,0,rv,15,A person slowly backs up carefully.,back,0.0
walk-backwards-IN,0,ho,67,A person back off from a monster.,back,0.0
walk-backwards-IN,0,ho,34,A person backs away,back,0.0
walk-backwards-IN,0,ho,41,A person backing away slowly,back,0.0
walk-backwards-IN,0,np,41,A person is backing up in amazement.,back,0.0
walk-backwards-IN,0,ho,42,A person backs away slowly.,back,0.0
walk-backwards-IN,0,ho,23,A person backed up quickly.,back,0.0
walk-backwards-IN,0,np,23,A person backing away,back,0.0
walk-backwards-IN,0,ho,91,A person is backing up.,back,0.0
ball-roll-IN,0,ip,67,A gymnast does a series of backflips.,backflip,0.0
walk-backwards-IN,0,ho,71,A person is backpedaling.,backpedal,0.0
hanger-swing-IN,0,rv,70,A person is trying to balance an object.,balance,1.0
hanger-swing-IN,0,np,84,A person balances on a beam,balance,0.0
hit-balloon-TR,1,cs,16,A woman is batting a volleyball off her hand.,bat,1.0
hit-bottle-with-ball-TR,1,cm,16,A man is batting something away.,bat,1.0
hit-balloon-TR,1,cm,42,A person bats a ball away.,bat,1.0
racecar-into-box-IN,0,np,67,A goat batters a wall.,batter,1.0
roll-out-TR,1,ip,26,Waves at the beach.,be,0.0
approach-coatrack-IN,0,cm,26,An object on a conveyor belt.,be,0.0
walk-backwards-IN,0,cs,79,A pane of glass is between that person and someone else.,be,0.0
picture-shift-IN,0,ho,60,The picture is not level.,be,0.0
tape-measurer-bend-half-IN,0,np,4,He is on a rollercoaster.,be,0.0
balloon-deflate-IN,0,ho,70,An object is shaped like a teardrop.,be,0.0
bread-spin-IN,0,rv,70,A person is confused.,be,0.0
person-bend-over-IN,0,cm,70,The time is over.,be,0.0
bowl-break-IN,0,rv,70,A person is clueless.,be,0.0
plug-in-TR,1,rv,67,A thrown horseshoe is a ringer.,be,0.0
hanger-swing-IN,0,ho,67,A fishhook is in the water.,be,0.0
cards-scatter-IN,0,cs,18,There is a storm in the sky.,be,0.0
fizzle-down-IN,0,cs,18,A bug is on an item.,be,0.0
ball-drop-IN,0,cs,18,Someone is relieved.,be,0.0
cards-scatter-IN,0,ip,18,There is a thunderstorm.,be,0.0
push-toy-in-box-TR,1,ip,18,Someone is disgusted with something.,be,0.0
spin-bread-TR,1,rv,18,There is a tornado.,be,0.0
hanger-swing-IN,0,rv,18,Something is crooked.,be,0.0
spin-bread-TR,1,ho,18,There is a tornado.,be,0.0
toy-skitter-IN,0,cm,18,Someone is nervous about something.,be,0.0
bowl-break-IN,0,np,41,A person is showing how large an object is.,be,0.0
lid-blow-off-IN,0,np,41,Waves over an object,be,0.0
picture-shift-IN,0,rv,13,Swing set in motion.,be,0.0
lid-blow-off-IN,0,np,23,Person acting out stream off a hot drink,be,0.0
bread-spin-IN,0,rv,23,A person is on a carousel.,be,0.0
ball-roll-IN,0,ho,91,A person is on the phone.,be,0.0
whirly-gig-drop-IN,0,cs,91,A person is in the rain.,be,0.0
reorient-pole-TR,1,cs,91,A person is in the rain.,be,0.0
march-IN,0,cm,91,A person is on a bike.,be,0.0
paper-drop-IN,0,ip,91,A person is in the rain.,be,0.0
paper-drop-IN,0,cs,91,A person is in the rain.,be,0.0
racecar-into-box-IN,0,ho,91,A person is in a car crash.,be,0.0
turn-fan-TR,1,ip,4,She is hot and adjusted the fan.,"be,adjust",0.5
walk-backwards-IN,0,ho,18,A person is scared and backing away from something.,"be,back",0.0
toy-crawl-IN,0,cm,23,A person saying it was a long journey to finish,"be,finish",0.5
bowl-break-IN,0,ip,79,"A cat or dog was being docile, then it freaked out.","be,freak",0.0
bowl-break-IN,0,rv,18,A person is confused and doesn't have information.,"be,have",0.5
light-turn-on-IN,0,cm,0,He is a magician who held something in his hand and poof it's gone.,"be,hold,go",0.3333333333
coatrack-approach-IN,0,rv,8,A plane is ready to land.,"be,land",0.0
shaving-cream-spray-IN,0,ip,19,A person is in a hurry to load multiple things into a shopping cart.,"be,load",0.5
bowl-break-IN,0,ip,41,A person grossed out about an object and moving it out of the way,"be,move",0.5
light-turn-on-IN,0,ho,70,A person is surprised by an object opening.,"be,open",0.0
turn-fan-TR,1,ip,41,A person is hot and pulled out a cold drink.,"be,pull",0.5
shake-shaker-TR,1,cs,15,A person is serious as they shake a cocktail mixer.,"be,shake",0.5
toy-crawl-IN,0,rv,41,A person happy and skipping along,"be,skip",0.0
poster-roll-up-IN,0,cs,15,A dolphin is still in the ocean then swims away.,"be,swim",0.0
bowl-break-IN,0,ip,42,A person is afraid of what is in a box and throws it on the ground.,"be,throw",0.5
march-IN,0,ho,70,A person beats on an object with alternating hands.,beat,1.0
door-microwave-close-IN,0,cs,15,A bored person's heart beats hard.,beat,0.0
door-microwave-close-IN,0,cs,41,A heart is beating.,beat,0.0
door-microwave-close-IN,0,cs,0,She is slowly demonstrating a heart beating out of one's chest.,beat,0.0
balloon-deflate-IN,0,rv,59,Something is becoming smaller overtime.,become,0.0
reorient-pole-TR,1,ho,84,One object becomes two,become,0.0
balloon-deflate-IN,0,rv,18,Something is becoming smaller.,become,0.0
tape-measurer-bend-half-IN,0,ho,70,An object becomes limp and collapses.,"become,collapse",0.0
toy-skitter-IN,0,np,84,A spinning top is beginning to wobble,"begin,wobble",0.5
break-stick-TR,1,ip,59,A person is bending an object in half.,bend,1.0
measure-book-TR,1,ho,6,bending an object into a circle,bend,1.0
break-stick-TR,1,cm,16,A man is bending something in half.,bend,1.0
break-stick-TR,1,cm,8,A person is bending something.,bend,1.0
break-stick-TR,1,ip,8,A person is bending an object.,bend,1.0
break-stick-TR,1,cm,4,He bent the iron rod.,bend,1.0
break-stick-TR,1,ip,4,She bent the tire iron down.,bend,1.0
person-bend-over-IN,0,ip,4,It bent all the way over.,bend,0.0
break-stick-TR,1,cm,86,Someone is bending something.,bend,1.0
break-stick-TR,1,cm,47,A person is bending something,bend,1.0
break-stick-TR,1,cm,67,A strong man bends a bar.,bend,1.0
break-stick-TR,1,cs,67,A strong person bends a pipe.,bend,1.0
stick-break-IN,0,cm,1,The person is bending an object downward.,bend,1.0
break-stick-TR,1,ip,42,A person bends a rod.,bend,1.0
person-bend-over-IN,0,cs,71,A person is bending over backwards.,bend,0.0
break-stick-TR,1,ip,71,A woman bends a strong bar.,bend,1.0
break-stick-TR,1,cm,28,A person is bending a bar.,bend,1.0
person-bend-over-IN,0,cs,13,Bending a metal bar.,bend,1.0
break-stick-TR,1,cm,23,A person bending an object,bend,1.0
break-stick-TR,1,ip,23,A person bending an object,bend,1.0
break-stick-TR,1,np,23,A person bending and stretching an object,"bend,stretch",1.0
measure-book-TR,1,rv,18,Someone is binding something with string.,bind,1.0
put-book-on-side-TR,1,cm,26,An animal bites onto another animal.,bite,1.0
put-book-on-side-TR,1,rv,26,Animal biting on a prey.,bite,1.0
plug-in-TR,1,rv,26,A snake bites a prey.,bite,1.0
cards-scatter-IN,0,cm,39,A person is just blabbing useless information.,blab,1.0
hanger-swing-IN,0,cs,70,A person detects blabbering.,blabber,0.0
plug-in-TR,1,rv,42,A wedge blocks progress.,block,1.0
light-turn-on-IN,0,ho,74,A flower is blooming.,bloom,0.0
cards-scatter-IN,0,ho,8,A flower is blooming.,bloom,0.0
light-turn-on-IN,0,ip,67,A flower blooms.,bloom,0.0
light-turn-on-IN,0,cs,18,A flower is blooming.,bloom,0.0
light-turn-on-IN,0,ho,42,A plant blooms.,bloom,0.0
light-turn-on-IN,0,np,28,A flower is blooming.,bloom,0.0
light-turn-on-IN,0,cm,80,A flower blooms.,bloom,0.0
fan-turn-IN,0,cm,26,Wind blowing in the air.,blow,0.0
toy-appear-in-box-IN,0,cs,26,Wind blowing leaves in the wind.,blow,1.0
cards-scatter-IN,0,cm,12,Wind blows a book across a table.,blow,1.0
cards-scatter-IN,0,cs,12,A dandelion blows in the wind,blow,0.0
poster-roll-up-IN,0,rv,12,A tumbleweed blows across the ground,blow,0.0
fan-turn-IN,0,ho,16,An oscillating fan is blowing.,blow,0.0
ball-hit-waterbottle-TR,1,cs,16,A dropped bomb blows up something.,blow,1.0
lid-blow-off-IN,0,rv,16,The top of something blows off and away.,blow,0.0
knock-over-tower-TR,1,cs,70,The wind blows.,blow,0.0
stick-break-IN,0,cs,17,The roof of a house blows off and onto the ground.,blow,0.0
bowl-break-IN,0,cs,15,A balloon is blown up.,blow,1.0
hit-balloon-TR,1,ho,67,Wind blows through a tree.,blow,0.0
tape-measurer-bend-half-IN,0,cs,67,A branch blows off a tree.,blow,0.0
hanger-swing-IN,0,cm,67,A leaf is blowing in the wind.,blow,0.0
pop-balloon-TR,1,cs,18,Something is blowing up.,blow,0.0
hanger-swing-IN,0,cs,18,Something is blowing in the wind.,blow,0.0
pop-balloon-TR,1,cs,95,A object is blown up.,blow,1.0
ball-roll-IN,0,rv,39,A tumbleweed is blowing down the road.,blow,0.0
knock-over-tower-TR,1,cs,42,The wind blows a door closed.,blow,1.0
cards-scatter-IN,0,np,42,Seeds are blown into the wind.,blow,1.0
whirly-gig-drop-IN,0,rv,71,A tornado blows through.,blow,0.0
cards-scatter-IN,0,cs,71,A fan is blowing.,blow,0.0
knock-over-tower-TR,1,cs,71,Something is being blown away.,blow,1.0
move-box-TR,1,ho,71,A cloud blows across the sky.,blow,0.0
lid-blow-off-IN,0,ip,71,Gusts of wind blow a wall of hay over.,blow,1.0
knock-over-tower-TR,1,cs,28,An object is being blown into something.,blow,1.0
cards-scatter-IN,0,rv,13,Snow blowing in the wind.,blow,0.0
approach-coatrack-IN,0,cm,13,Wind blowing past a building.,blow,0.0
pop-balloon-TR,1,cs,23,A person explaining something blew up,blow,0.0
turn-fan-TR,1,cs,42,The wind blows a window shut and the glass breaks.,"blow,break",0.5
lid-blow-off-IN,0,ip,28,The wind blows and knocks something over.,"blow,knock",1.0
cards-scatter-IN,0,rv,15,Many leaves are blowing and moving swiftly in the wind.,"blow,move",0.0
spray-shaving-cream-TR,1,cs,78,The wind is blowing in the direction of a person who is remaining stationary.,"blow,remain",0.0
shake-shaker-TR,1,ip,41,A person blew in a bottle and then shook it up.,"blow,shake",0.5
ball-drop-IN,0,cs,34,A cap is blown off from the bottom of a vehicle and water spills everywhere.,"blow,spill",0.5
toy-appear-in-box-IN,0,ip,26,Water boiling from a container.,boil,0.0
fizzle-down-IN,0,ip,41,A pot of water is boiling over.,boil,0.0
fizzle-down-IN,0,ip,23,A pot boiling over,boil,0.0
fizzle-down-IN,0,ip,8,Water is boiling and overflowing from a pot.,"boil,overflow",0.0
push-button-microwave-TR,1,cs,15,A person boops the nose of a dog.,boop,1.0
ball-bounce-IN,0,np,93,An object is bouncing up and down,bounce,0.0
bounce-ball-TR,1,np,26,A ball bouncing off a shelf.,bounce,0.0
ball-bounce-IN,0,ho,26,A ball bouncing around.,bounce,0.0
ball-bounce-IN,0,rv,26,Ball bouncing on the ground.,bounce,0.0
ball-bounce-IN,0,cm,26,A ball bouncing on the ground.,bounce,0.0
bounce-ball-TR,1,cm,26,Bouncing a basketball on the ground.,bounce,1.0
hit-bottle-with-ball-TR,1,ip,12,A ball is bounced,bounce,1.0
bounce-ball-TR,1,rv,12,A basketball is bounced,bounce,1.0
ball-bounce-IN,0,rv,12,A basketball bounces on the ground,bounce,0.0
ball-bounce-IN,0,ho,12,A ball bounces up and down on the floor,bounce,0.0
bounce-ball-TR,1,cs,16,A woman is bouncing a ball.,bounce,1.0
bounce-ball-TR,1,ip,16,A woman is bouncing a ball.,bounce,1.0
ball-bounce-IN,0,cm,16,Something is bouncing up and down.,bounce,0.0
bounce-ball-TR,1,cm,16,Someone is bouncing a ball.,bounce,1.0
bounce-ball-TR,1,ho,16,A woman is bouncing something.,bounce,1.0
march-IN,0,cm,8,A person is bouncing a ball on the floor.,bounce,0.0
ball-hit-waterbottle-TR,1,np,8,An object is bouncing up then down.,bounce,0.0
drop-ball-TR,1,ip,8,A person is bouncing a ball on the ground.,bounce,1.0
ball-bounce-IN,0,cs,8,A ball is bouncing on the ground.,bounce,0.0
bounce-ball-TR,1,ho,8,A person is bouncing a ball on the ground.,bounce,1.0
bounce-ball-TR,1,cm,8,A person is bouncing a basket ball.,bounce,1.0
spray-shaving-cream-TR,1,ip,4,She is bouncing something against the wall.,bounce,1.0
bounce-ball-TR,1,cs,4,She is bouncing the ball.,bounce,1.0
bounce-ball-TR,1,cm,4,He bounced the ball.,bounce,1.0
bounce-ball-TR,1,ip,4,She was bouncing the ball.,bounce,1.0
bounce-ball-TR,1,ho,4,She bounced the ball.,bounce,1.0
ball-bounce-IN,0,cs,4,She bounced the ball.,bounce,1.0
shaving-cream-spray-IN,0,rv,4,An object is bouncing.,bounce,0.0
bounce-ball-TR,1,rv,4,He was bouncing the basketball.,bounce,1.0
drop-ball-TR,1,np,70,An dropped object bounces on a surface.,bounce,0.0
ball-bounce-IN,0,cs,70,An object bounces in place and then bounces backwards.,bounce,0.0
bounce-ball-TR,1,rv,70,A person bounces a ball.,bounce,1.0
bounce-ball-TR,1,ho,70,A person bounces an object on a raised surface.,bounce,1.0
ball-bounce-IN,0,rv,84,An object bounces decreasing heights,bounce,0.0
poster-roll-up-IN,0,ip,84,An object is bouncing across the floor,bounce,0.0
ball-bounce-IN,0,cm,84,A ball bounces up and down,bounce,0.0
ball-bounce-IN,0,ho,15,A ball bounces along.,bounce,0.0
ball-bounce-IN,0,rv,15,A ball bounces starting big and getting smaller.,bounce,0.0
ball-bounce-IN,0,np,15,A ball bounces.,bounce,0.0
ball-drop-IN,0,np,67,A ball bounces.,bounce,0.0
ball-bounce-IN,0,cm,18,Something is bouncing on the floor.,bounce,0.0
bounce-ball-TR,1,cm,18,A person is bouncing a ball.,bounce,1.0
bounce-ball-TR,1,ip,18,Someone is bouncing a ball.,bounce,1.0
bounce-ball-TR,1,np,18,Someone is bouncing a ball.,bounce,1.0
bounce-ball-TR,1,ho,18,Someone is bouncing a ball.,bounce,1.0
ball-bounce-IN,0,np,18,Something is bouncing up and down.,bounce,0.0
bounce-ball-TR,1,rv,18,A person is bouncing a ball.,bounce,1.0
drop-ball-TR,1,ip,68,An object bounces on the floor a few times,bounce,0.0
ball-bounce-IN,0,np,61,A ball bounces on the ground.,bounce,0.0
ball-bounce-IN,0,ho,44,A person is bouncing a ball.,bounce,1.0
ball-bounce-IN,0,rv,44,A person is bouncing a ball.,bounce,1.0
ball-bounce-IN,0,cm,44,A person is bouncing a ball.,bounce,1.0
bounce-ball-TR,1,cs,44,A person is bouncing a ball.,bounce,1.0
march-IN,0,cm,44,A person is bouncing a basketball.,bounce,1.0
bounce-ball-TR,1,cm,44,A person is bouncing a ball.,bounce,1.0
ball-bounce-IN,0,ip,44,A person is bouncing a ball.,bounce,1.0
ball-bounce-IN,0,np,44,A person is bouncing aball.,bounce,1.0
ball-bounce-IN,0,cs,44,A person is bouncing a ball.,bounce,1.0
bounce-ball-TR,1,rv,44,A person is bouncing a basketball.,bounce,1.0
bounce-ball-TR,1,rv,73,Bouncing a basketball.,bounce,1.0
bounce-ball-TR,1,np,39,A person is bouncing a basketball.,bounce,0.0
bounce-ball-TR,1,ip,14,A circular object is bounced repeatedly from above.,bounce,1.0
bounce-ball-TR,1,np,41,A person is bouncing a ball.,bounce,0.0
bounce-ball-TR,1,rv,41,An object bouncing,bounce,0.0
ball-bounce-IN,0,ho,41,A ball is bouncing around the room.,bounce,0.0
bounce-ball-TR,1,ip,41,A person is bouncing a basketball.,bounce,1.0
ball-bounce-IN,0,ho,42,A ball bounces off the table.,bounce,0.0
ball-bounce-IN,0,rv,42,A ball bounces down the steps.,bounce,0.0
ball-bounce-IN,0,ho,71,A ball bounces across the table and off it.,bounce,0.0
ball-roll-IN,0,ho,71,A ball bounces off a woman's arm.,bounce,0.0
ball-bounce-IN,0,cm,71,A ball bounces.,bounce,0.0
ball-bounce-IN,0,ip,71,A ball bounces.,bounce,0.0
bounce-ball-TR,1,ip,71,A woman shows and bounces a ball.,bounce,1.0
bounce-ball-TR,1,np,71,A man bouncing a ball.,bounce,1.0
ball-drop-IN,0,np,71,A bouncing ball bounces.,bounce,0.0
bounce-ball-TR,1,rv,71,A ball is bouncing.,bounce,0.0
bounce-ball-TR,1,ip,28,A person is bouncing a ball.,bounce,1.0
ball-bounce-IN,0,ip,28,A ball is bouncing.,bounce,0.0
ball-bounce-IN,0,np,28,A ball is bouncing on the ground.,bounce,0.0
ball-bounce-IN,0,ho,23,A person bouncing an object out of the way,bounce,1.0
bounce-ball-TR,1,np,23,A person bouncing an object,bounce,1.0
ball-bounce-IN,0,np,23,A person bouncing a ball,bounce,1.0
ball-bounce-IN,0,cs,23,A ball bouncing,bounce,0.0
bounce-ball-TR,1,rv,23,A ball is bouncing on the floor.,bounce,0.0
ball-bounce-IN,0,ho,91,A person is bouncing a ball.,bounce,1.0
ball-bounce-IN,0,ip,91,A person is bouncing a ball.,bounce,1.0
bounce-ball-TR,1,np,91,A person is bouncing a ball.,bounce,0.0
ball-drop-IN,0,ip,91,A person is bouncing a ball.,bounce,1.0
ball-bounce-IN,0,cs,91,A person is bouncing a ball.,bounce,1.0
ball-bounce-IN,0,rv,14,"An object bounces several times, the height of the bounce decreasing each time.","bounce,decrease",0.0
ball-bounce-IN,0,ho,59,"The person said that the object bounced twice, then fell off.","bounce,fall",0.0
lid-blow-off-IN,0,ip,4,The object bounced twice and fell over.,"bounce,fall",0.0
ball-bounce-IN,0,ho,70,An objects bounces across a surface and falls off.,"bounce,fall",0.0
drop-ball-TR,1,np,84,An object bounces after it falls,"bounce,fall",0.0
ball-bounce-IN,0,ho,14,A tall object bounces three times then falls on its side.,"bounce,fall",0.0
ball-bounce-IN,0,cm,59,"An object bounced twice, then fell or rolled away.","bounce,fall,roll",0.0
ball-bounce-IN,0,ho,4,The ball was bouncing then landed.,"bounce,land",0.0
ball-bounce-IN,0,rv,27,It bounces lower and lower until it's just rolling.,"bounce,roll",0.0
ball-bounce-IN,0,rv,13,Ball bouncing and rolling.,"bounce,roll",0.0
ball-bounce-IN,0,ho,16,A ball bounces then stops.,"bounce,stop",0.0
person-bend-over-IN,0,ip,12,Someone bows down,bow,0.0
person-bend-over-IN,0,ip,16,A person bows down to someone else.,bow,0.0
person-bend-over-IN,0,ip,67,A person bows to the king.,bow,0.0
person-bend-over-IN,0,ip,18,A person is bowing down to someone else.,bow,0.0
person-bend-over-IN,0,ip,41,Someone is bowing to another person.,bow,0.0
person-bend-over-IN,0,ip,23,A person is bowing to another person.,bow,0.0
person-bend-over-IN,0,ip,91,A person is bowing.,bow,0.0
knock-over-tower-TR,1,cs,4,She is bowling.,bowl,0.0
poster-roll-up-IN,0,np,91,A person is bowling.,bowl,0.0
hit-bottle-with-ball-TR,1,rv,91,A person is bowling.,bowl,0.0
ball-hit-waterbottle-TR,1,cs,91,A person is bowling.,bowl,0.0
reorient-pole-TR,1,cs,84,A person braces themselves,brace,1.0
reorient-pole-TR,1,cs,84,A person braces themselves,brace,1.0
break-stick-TR,1,cs,93,The person is breaking something apart,break,1.0
taughten-string-TR,1,rv,26,Object being broken apart.,break,1.0
break-stick-TR,1,ho,26,A glowstick being broken.,break,1.0
tape-measurer-bend-half-IN,0,cs,79,The top part of an object broke off from the bottom part of the same object.,break,0.0
break-stick-TR,1,rv,79,"Something wasn't broken, and then it was broken.",break,1.0
stick-break-IN,0,ip,79,A tree broke at the trunk.,break,0.0
taughten-string-TR,1,cs,12,Someone breaks bread.,break,1.0
break-stick-TR,1,rv,12,Someone breaks bread.,break,1.0
plug-in-TR,1,cm,12,An egg is broken,break,1.0
break-stick-TR,1,np,12,Someone breaks a tree branch in half,break,1.0
break-stick-TR,1,cs,12,Someone breaks bread,break,1.0
break-stick-TR,1,cm,12,Someone breaks braed,break,1.0
break-stick-TR,1,ho,12,Someone breaks a stick in half,break,1.0
break-stick-TR,1,rv,5,A person is breaking some thing.,break,1.0
break-stick-TR,1,rv,16,A man is breaking something in two.,break,1.0
break-stick-TR,1,ho,16,A woman is breaking a stick in half.,break,1.0
break-stick-TR,1,np,16,A man is breaking a stick in half.,break,1.0
break-stick-TR,1,cs,16,A woman is breaking something in half.,break,1.0
tear-paper-TR,1,cs,16,A woman is breaking something in half.,break,1.0
break-stick-TR,1,rv,81,BREAKING A STICK,break,1.0
