item,sentence,verb,event,gesturer
15-ip-IN-s.mp4,A plane is approaching the airport.,approach,car-pass-tower-IN,ip
2-ho-IN-s.mp4,A spider approaches a tree.,approach,approach-coatrack-IN,ho
18-cs-IN-s.mp4,A stationary object is approached by another object which stops moving.,"approach,stop",coatrack-approach-IN,cs
2-np-IN-s.mp4,A person slowing approving a situation,approve,approach-coatrack-IN,np
24-cm-IN-s.mp4,A person is arguing.,argue,fan-turn-IN,cm
67-np-IN-s.mp4,A small creature with antennae arises from behind a vertical surface.,arise,toy-appear-in-box-IN,np
70-np-TR-s.mp4,A person is arranging something on a shelf.,arrange,turn-fan-TR,np
42-np-IN-s.mp4,A person is arranging an object on the wall.,arrange,picture-shift-IN,np
52-cs-IN-s.mp4,A flying object ascends slightly into a wall.,ascend,racecar-into-box-IN,cs
46-cs-TR-s.mp4,The person is asking for a bottle of water.,ask,pour-bottle-caps-TR,cs
14-np-TR-s.mp4,A person is assembling an instrument.,assemble,break-stick-TR,np
36-rvn-TR-s.mp4,A necklace is attached to someone's neck by someone else,attach,measure-book-TR,rv
36-ho-TR-s.mp4,Someone attaches a necklace around someone else's neck,attach,measure-book-TR,ho
43-ip-TR-s.mp4,The person is attaching an object to a grip.,attach,plug-in-TR,ip
43-ip-TR-s.mp4,A woman attaches a hose.,attach,plug-in-TR,ip
60-cs-IN-s.mp4,"A section attaches to an elevated object, then lifts upward and falls to the side.","attach,lift,fall",stick-break-IN,cs
27-np-IN-s.mp4,A small object is attached to a fulcrum and swings back and forth several times.,"attach,swing",hanger-swing-IN,np
59-ip-TR-s.mp4,Something is attacking something else.,attack,spray-shaving-cream-TR,ip
29-ip-TR-s.mp4,Someone is attacking something.,attack,hit-bottle-with-ball-TR,ip
68-cs-IN-s.mp4,An animal is attacking some other creature.,attack,toy-crawl-IN,cs
59-ip-TR-s.mp4,An animal attacking something,attack,spray-shaving-cream-TR,ip
59-cs-TR-s.mp4,An object attracts an insect to hover.,"attract,hover",spray-shaving-cream-TR,cs
22-ho-IN-s.mp4,An object is attracted to a stationary object which it touches and then it moves away.,"attract,touch,move",door-microwave-close-IN,ho
52-ip-IN-s.mp4,A car is avoiding an accident.,avoid,racecar-into-box-IN,ip
45-cs-IN-s.mp4,A swan awakes and takes off.,"awaken,take",poster-roll-up-IN,cs
71-ho-IN-s.mp4,A woman is backing away from something.,back,walk-backwards-IN,ho
71-ho-IN-s.mp4,She was backing up in traffic.,back,walk-backwards-IN,ho
71-rvn-IN-s.mp4,A person slowly backs up carefully.,back,walk-backwards-IN,rv
71-ho-IN-s.mp4,A person back off from a monster.,back,walk-backwards-IN,ho
71-ho-IN-s.mp4,A person backs away,back,walk-backwards-IN,ho
71-ho-IN-s.mp4,A person backing away slowly,back,walk-backwards-IN,ho
71-np-IN-s.mp4,A person is backing up in amazement.,back,walk-backwards-IN,np
71-ho-IN-s.mp4,A person backs away slowly.,back,walk-backwards-IN,ho
71-ho-IN-s.mp4,A person backed up quickly.,back,walk-backwards-IN,ho
71-np-IN-s.mp4,A person backing away,back,walk-backwards-IN,np
71-ho-IN-s.mp4,A person is backing up.,back,walk-backwards-IN,ho
6-ip-IN-s.mp4,A gymnast does a series of backflips.,backflip,ball-roll-IN,ip
71-ho-IN-s.mp4,A person is backpedaling.,backpedal,walk-backwards-IN,ho
27-rvn-IN-s.mp4,A person is trying to balance an object.,balance,hanger-swing-IN,rv
27-np-IN-s.mp4,A person balances on a beam,balance,hanger-swing-IN,np
28-cs-TR-s.mp4,A woman is batting a volleyball off her hand.,bat,hit-balloon-TR,cs
29-cm-TR-s.mp4,A man is batting something away.,bat,hit-bottle-with-ball-TR,cm
28-cm-TR-s.mp4,A person bats a ball away.,bat,hit-balloon-TR,cm
52-np-IN-s.mp4,A goat batters a wall.,batter,racecar-into-box-IN,np
55-ip-TR-s.mp4,Waves at the beach.,be,roll-out-TR,ip
2-cm-IN-s.mp4,An object on a conveyor belt.,be,approach-coatrack-IN,cm
71-cs-IN-s.mp4,A pane of glass is between that person and someone else.,be,walk-backwards-IN,cs
42-ho-IN-s.mp4,The picture is not level.,be,picture-shift-IN,ho
63-np-IN-s.mp4,He is on a rollercoaster.,be,tape-measurer-bend-half-IN,np
7-ho-IN-s.mp4,An object is shaped like a teardrop.,be,balloon-deflate-IN,ho
13-rvn-IN-s.mp4,A person is confused.,be,bread-spin-IN,rv
41-cm-IN-s.mp4,The time is over.,be,person-bend-over-IN,cm
11-rvn-IN-s.mp4,A person is clueless.,be,bowl-break-IN,rv
43-rvn-TR-s.mp4,A thrown horseshoe is a ringer.,be,plug-in-TR,rv
27-ho-IN-s.mp4,A fishhook is in the water.,be,hanger-swing-IN,ho
16-cs-IN-s.mp4,There is a storm in the sky.,be,cards-scatter-IN,cs
25-cs-IN-s.mp4,A bug is on an item.,be,fizzle-down-IN,cs
4-cs-IN-s.mp4,Someone is relieved.,be,ball-drop-IN,cs
16-ip-IN-s.mp4,There is a thunderstorm.,be,cards-scatter-IN,ip
49-ip-TR-s.mp4,Someone is disgusted with something.,be,push-toy-in-box-TR,ip
58-rvn-TR-s.mp4,There is a tornado.,be,spin-bread-TR,rv
27-rvn-IN-s.mp4,Something is crooked.,be,hanger-swing-IN,rv
58-ho-TR-s.mp4,There is a tornado.,be,spin-bread-TR,ho
69-cm-IN-s.mp4,Someone is nervous about something.,be,toy-skitter-IN,cm
11-np-IN-s.mp4,A person is showing how large an object is.,be,bowl-break-IN,np
31-np-IN-s.mp4,Waves over an object,be,lid-blow-off-IN,np
42-rvn-IN-s.mp4,Swing set in motion.,be,picture-shift-IN,rv
31-np-IN-s.mp4,Person acting out stream off a hot drink,be,lid-blow-off-IN,np
13-rvn-IN-s.mp4,A person is on a carousel.,be,bread-spin-IN,rv
6-ho-IN-s.mp4,A person is on the phone.,be,ball-roll-IN,ho
72-cs-IN-s.mp4,A person is in the rain.,be,whirly-gig-drop-IN,cs
54-cs-TR-s.mp4,A person is in the rain.,be,reorient-pole-TR,cs
35-cm-IN-s.mp4,A person is on a bike.,be,march-IN,cm
39-ip-IN-s.mp4,A person is in the rain.,be,paper-drop-IN,ip
39-cs-IN-s.mp4,A person is in the rain.,be,paper-drop-IN,cs
52-ho-IN-s.mp4,A person is in a car crash.,be,racecar-into-box-IN,ho
70-ip-TR-s.mp4,She is hot and adjusted the fan.,"be,adjust",turn-fan-TR,ip
71-ho-IN-s.mp4,A person is scared and backing away from something.,"be,back",walk-backwards-IN,ho
68-cm-IN-s.mp4,A person saying it was a long journey to finish,"be,finish",toy-crawl-IN,cm
11-ip-IN-s.mp4,"A cat or dog was being docile, then it freaked out.","be,freak",bowl-break-IN,ip
11-rvn-IN-s.mp4,A person is confused and doesn't have information.,"be,have",bowl-break-IN,rv
34-cm-IN-s.mp4,He is a magician who held something in his hand and poof it's gone.,"be,hold,go",light-turn-on-IN,cm
18-rvn-IN-s.mp4,A plane is ready to land.,"be,land",coatrack-approach-IN,rv
57-ip-IN-s.mp4,A person is in a hurry to load multiple things into a shopping cart.,"be,load",shaving-cream-spray-IN,ip
11-ip-IN-s.mp4,A person grossed out about an object and moving it out of the way,"be,move",bowl-break-IN,ip
34-ho-IN-s.mp4,A person is surprised by an object opening.,"be,open",light-turn-on-IN,ho
70-ip-TR-s.mp4,A person is hot and pulled out a cold drink.,"be,pull",turn-fan-TR,ip
56-cs-TR-s.mp4,A person is serious as they shake a cocktail mixer.,"be,shake",shake-shaker-TR,cs
68-rvn-IN-s.mp4,A person happy and skipping along,"be,skip",toy-crawl-IN,rv
45-cs-IN-s.mp4,A dolphin is still in the ocean then swims away.,"be,swim",poster-roll-up-IN,cs
11-ip-IN-s.mp4,A person is afraid of what is in a box and throws it on the ground.,"be,throw",bowl-break-IN,ip
35-ho-IN-s.mp4,A person beats on an object with alternating hands.,beat,march-IN,ho
22-cs-IN-s.mp4,A bored person's heart beats hard.,beat,door-microwave-close-IN,cs
22-cs-IN-s.mp4,A heart is beating.,beat,door-microwave-close-IN,cs
22-cs-IN-s.mp4,She is slowly demonstrating a heart beating out of one's chest.,beat,door-microwave-close-IN,cs
7-rvn-IN-s.mp4,Something is becoming smaller overtime.,become,balloon-deflate-IN,rv
54-ho-TR-s.mp4,One object becomes two,become,reorient-pole-TR,ho
7-rvn-IN-s.mp4,Something is becoming smaller.,become,balloon-deflate-IN,rv
63-ho-IN-s.mp4,An object becomes limp and collapses.,"become,collapse",tape-measurer-bend-half-IN,ho
69-np-IN-s.mp4,A spinning top is beginning to wobble,"begin,wobble",toy-skitter-IN,np
14-ip-TR-s.mp4,A person is bending an object in half.,bend,break-stick-TR,ip
36-ho-TR-s.mp4,bending an object into a circle,bend,measure-book-TR,ho
14-cm-TR-s.mp4,A man is bending something in half.,bend,break-stick-TR,cm
14-cm-TR-s.mp4,A person is bending something.,bend,break-stick-TR,cm
14-ip-TR-s.mp4,A person is bending an object.,bend,break-stick-TR,ip
14-cm-TR-s.mp4,He bent the iron rod.,bend,break-stick-TR,cm
14-ip-TR-s.mp4,She bent the tire iron down.,bend,break-stick-TR,ip
41-ip-IN-s.mp4,It bent all the way over.,bend,person-bend-over-IN,ip
14-cm-TR-s.mp4,Someone is bending something.,bend,break-stick-TR,cm
14-cm-TR-s.mp4,A person is bending something,bend,break-stick-TR,cm
14-cm-TR-s.mp4,A strong man bends a bar.,bend,break-stick-TR,cm
14-cs-TR-s.mp4,A strong person bends a pipe.,bend,break-stick-TR,cs
60-cm-IN-s.mp4,The person is bending an object downward.,bend,stick-break-IN,cm
14-ip-TR-s.mp4,A person bends a rod.,bend,break-stick-TR,ip
41-cs-IN-s.mp4,A person is bending over backwards.,bend,person-bend-over-IN,cs
14-ip-TR-s.mp4,A woman bends a strong bar.,bend,break-stick-TR,ip
14-cm-TR-s.mp4,A person is bending a bar.,bend,break-stick-TR,cm
41-cs-IN-s.mp4,Bending a metal bar.,bend,person-bend-over-IN,cs
14-cm-TR-s.mp4,A person bending an object,bend,break-stick-TR,cm
14-ip-TR-s.mp4,A person bending an object,bend,break-stick-TR,ip
14-np-TR-s.mp4,A person bending and stretching an object,"bend,stretch",break-stick-TR,np
36-rvn-TR-s.mp4,Someone is binding something with string.,bind,measure-book-TR,rv
50-cm-TR-s.mp4,An animal bites onto another animal.,bite,put-book-on-side-TR,cm
50-rvn-TR-s.mp4,Animal biting on a prey.,bite,put-book-on-side-TR,rv
43-rvn-TR-s.mp4,A snake bites a prey.,bite,plug-in-TR,rv
16-cm-IN-s.mp4,A person is just blabbing useless information.,blab,cards-scatter-IN,cm
27-cs-IN-s.mp4,A person detects blabbering.,blabber,hanger-swing-IN,cs
43-rvn-TR-s.mp4,A wedge blocks progress.,block,plug-in-TR,rv
34-ho-IN-s.mp4,A flower is blooming.,bloom,light-turn-on-IN,ho
16-ho-IN-s.mp4,A flower is blooming.,bloom,cards-scatter-IN,ho
34-ip-IN-s.mp4,A flower blooms.,bloom,light-turn-on-IN,ip
34-cs-IN-s.mp4,A flower is blooming.,bloom,light-turn-on-IN,cs
34-ho-IN-s.mp4,A plant blooms.,bloom,light-turn-on-IN,ho
34-np-IN-s.mp4,A flower is blooming.,bloom,light-turn-on-IN,np
34-cm-IN-s.mp4,A flower blooms.,bloom,light-turn-on-IN,cm
24-cm-IN-s.mp4,Wind blowing in the air.,blow,fan-turn-IN,cm
67-cs-IN-s.mp4,Wind blowing leaves in the wind.,blow,toy-appear-in-box-IN,cs
16-cm-IN-s.mp4,Wind blows a book across a table.,blow,cards-scatter-IN,cm
16-cs-IN-s.mp4,A dandelion blows in the wind,blow,cards-scatter-IN,cs
45-rvn-IN-s.mp4,A tumbleweed blows across the ground,blow,poster-roll-up-IN,rv
24-ho-IN-s.mp4,An oscillating fan is blowing.,blow,fan-turn-IN,ho
5-cs-TR-s.mp4,A dropped bomb blows up something.,blow,ball-hit-waterbottle-TR,cs
31-rvn-IN-s.mp4,The top of something blows off and away.,blow,lid-blow-off-IN,rv
30-cs-TR-s.mp4,The wind blows.,blow,knock-over-tower-TR,cs
60-cs-IN-s.mp4,The roof of a house blows off and onto the ground.,blow,stick-break-IN,cs
11-cs-IN-s.mp4,A balloon is blown up.,blow,bowl-break-IN,cs
28-ho-TR-s.mp4,Wind blows through a tree.,blow,hit-balloon-TR,ho
63-cs-IN-s.mp4,A branch blows off a tree.,blow,tape-measurer-bend-half-IN,cs
27-cm-IN-s.mp4,A leaf is blowing in the wind.,blow,hanger-swing-IN,cm
44-cs-TR-s.mp4,Something is blowing up.,blow,pop-balloon-TR,cs
27-cs-IN-s.mp4,Something is blowing in the wind.,blow,hanger-swing-IN,cs
44-cs-TR-s.mp4,A object is blown up.,blow,pop-balloon-TR,cs
6-rvn-IN-s.mp4,A tumbleweed is blowing down the road.,blow,ball-roll-IN,rv
30-cs-TR-s.mp4,The wind blows a door closed.,blow,knock-over-tower-TR,cs
16-np-IN-s.mp4,Seeds are blown into the wind.,blow,cards-scatter-IN,np
72-rvn-IN-s.mp4,A tornado blows through.,blow,whirly-gig-drop-IN,rv
16-cs-IN-s.mp4,A fan is blowing.,blow,cards-scatter-IN,cs
30-cs-TR-s.mp4,Something is being blown away.,blow,knock-over-tower-TR,cs
37-ho-TR-s.mp4,A cloud blows across the sky.,blow,move-box-TR,ho
31-ip-IN-s.mp4,Gusts of wind blow a wall of hay over.,blow,lid-blow-off-IN,ip
30-cs-TR-s.mp4,An object is being blown into something.,blow,knock-over-tower-TR,cs
16-rvn-IN-s.mp4,Snow blowing in the wind.,blow,cards-scatter-IN,rv
2-cm-IN-s.mp4,Wind blowing past a building.,blow,approach-coatrack-IN,cm
44-cs-TR-s.mp4,A person explaining something blew up,blow,pop-balloon-TR,cs
70-cs-TR-s.mp4,The wind blows a window shut and the glass breaks.,"blow,break",turn-fan-TR,cs
31-ip-IN-s.mp4,The wind blows and knocks something over.,"blow,knock",lid-blow-off-IN,ip
16-rvn-IN-s.mp4,Many leaves are blowing and moving swiftly in the wind.,"blow,move",cards-scatter-IN,rv
59-cs-TR-s.mp4,The wind is blowing in the direction of a person who is remaining stationary.,"blow,remain",spray-shaving-cream-TR,cs
56-ip-TR-s.mp4,A person blew in a bottle and then shook it up.,"blow,shake",shake-shaker-TR,ip
4-cs-IN-s.mp4,A cap is blown off from the bottom of a vehicle and water spills everywhere.,"blow,spill",ball-drop-IN,cs
67-ip-IN-s.mp4,Water boiling from a container.,boil,toy-appear-in-box-IN,ip
25-ip-IN-s.mp4,A pot of water is boiling over.,boil,fizzle-down-IN,ip
25-ip-IN-s.mp4,A pot boiling over,boil,fizzle-down-IN,ip
25-ip-IN-s.mp4,Water is boiling and overflowing from a pot.,"boil,overflow",fizzle-down-IN,ip
48-cs-TR-s.mp4,A person boops the nose of a dog.,boop,push-button-microwave-TR,cs
3-np-IN-s.mp4,An object is bouncing up and down,bounce,ball-bounce-IN,np
10-np-TR-s.mp4,A ball bouncing off a shelf.,bounce,bounce-ball-TR,np
3-ho-IN-s.mp4,A ball bouncing around.,bounce,ball-bounce-IN,ho
3-rvn-IN-s.mp4,Ball bouncing on the ground.,bounce,ball-bounce-IN,rv
3-cm-IN-s.mp4,A ball bouncing on the ground.,bounce,ball-bounce-IN,cm
10-cm-TR-s.mp4,Bouncing a basketball on the ground.,bounce,bounce-ball-TR,cm
29-ip-TR-s.mp4,A ball is bounced,bounce,hit-bottle-with-ball-TR,ip
10-rvn-TR-s.mp4,A basketball is bounced,bounce,bounce-ball-TR,rv
3-rvn-IN-s.mp4,A basketball bounces on the ground,bounce,ball-bounce-IN,rv
3-ho-IN-s.mp4,A ball bounces up and down on the floor,bounce,ball-bounce-IN,ho
10-cs-TR-s.mp4,A woman is bouncing a ball.,bounce,bounce-ball-TR,cs
10-ip-TR-s.mp4,A woman is bouncing a ball.,bounce,bounce-ball-TR,ip
3-cm-IN-s.mp4,Something is bouncing up and down.,bounce,ball-bounce-IN,cm
10-cm-TR-s.mp4,Someone is bouncing a ball.,bounce,bounce-ball-TR,cm
10-ho-TR-s.mp4,A woman is bouncing something.,bounce,bounce-ball-TR,ho
35-cm-IN-s.mp4,A person is bouncing a ball on the floor.,bounce,march-IN,cm
5-np-TR-s.mp4,An object is bouncing up then down.,bounce,ball-hit-waterbottle-TR,np
23-ip-TR-s.mp4,A person is bouncing a ball on the ground.,bounce,drop-ball-TR,ip
3-cs-IN-s.mp4,A ball is bouncing on the ground.,bounce,ball-bounce-IN,cs
10-ho-TR-s.mp4,A person is bouncing a ball on the ground.,bounce,bounce-ball-TR,ho
10-cm-TR-s.mp4,A person is bouncing a basket ball.,bounce,bounce-ball-TR,cm
59-ip-TR-s.mp4,She is bouncing something against the wall.,bounce,spray-shaving-cream-TR,ip
10-cs-TR-s.mp4,She is bouncing the ball.,bounce,bounce-ball-TR,cs
10-cm-TR-s.mp4,He bounced the ball.,bounce,bounce-ball-TR,cm
10-ip-TR-s.mp4,She was bouncing the ball.,bounce,bounce-ball-TR,ip
10-ho-TR-s.mp4,She bounced the ball.,bounce,bounce-ball-TR,ho
3-cs-IN-s.mp4,She bounced the ball.,bounce,ball-bounce-IN,cs
57-rvn-IN-s.mp4,An object is bouncing.,bounce,shaving-cream-spray-IN,rv
10-rvn-TR-s.mp4,He was bouncing the basketball.,bounce,bounce-ball-TR,rv
23-np-TR-s.mp4,An dropped object bounces on a surface.,bounce,drop-ball-TR,np
3-cs-IN-s.mp4,An object bounces in place and then bounces backwards.,bounce,ball-bounce-IN,cs
10-rvn-TR-s.mp4,A person bounces a ball.,bounce,bounce-ball-TR,rv
10-ho-TR-s.mp4,A person bounces an object on a raised surface.,bounce,bounce-ball-TR,ho
3-rvn-IN-s.mp4,An object bounces decreasing heights,bounce,ball-bounce-IN,rv
45-ip-IN-s.mp4,An object is bouncing across the floor,bounce,poster-roll-up-IN,ip
3-cm-IN-s.mp4,A ball bounces up and down,bounce,ball-bounce-IN,cm
3-ho-IN-s.mp4,A ball bounces along.,bounce,ball-bounce-IN,ho
3-rvn-IN-s.mp4,A ball bounces starting big and getting smaller.,bounce,ball-bounce-IN,rv
3-np-IN-s.mp4,A ball bounces.,bounce,ball-bounce-IN,np
4-np-IN-s.mp4,A ball bounces.,bounce,ball-drop-IN,np
3-cm-IN-s.mp4,Something is bouncing on the floor.,bounce,ball-bounce-IN,cm
10-cm-TR-s.mp4,A person is bouncing a ball.,bounce,bounce-ball-TR,cm
10-ip-TR-s.mp4,Someone is bouncing a ball.,bounce,bounce-ball-TR,ip
10-np-TR-s.mp4,Someone is bouncing a ball.,bounce,bounce-ball-TR,np
10-ho-TR-s.mp4,Someone is bouncing a ball.,bounce,bounce-ball-TR,ho
3-np-IN-s.mp4,Something is bouncing up and down.,bounce,ball-bounce-IN,np
10-rvn-TR-s.mp4,A person is bouncing a ball.,bounce,bounce-ball-TR,rv
23-ip-TR-s.mp4,An object bounces on the floor a few times,bounce,drop-ball-TR,ip
3-np-IN-s.mp4,A ball bounces on the ground.,bounce,ball-bounce-IN,np
3-ho-IN-s.mp4,A person is bouncing a ball.,bounce,ball-bounce-IN,ho
3-rvn-IN-s.mp4,A person is bouncing a ball.,bounce,ball-bounce-IN,rv
3-cm-IN-s.mp4,A person is bouncing a ball.,bounce,ball-bounce-IN,cm
10-cs-TR-s.mp4,A person is bouncing a ball.,bounce,bounce-ball-TR,cs
35-cm-IN-s.mp4,A person is bouncing a basketball.,bounce,march-IN,cm
10-cm-TR-s.mp4,A person is bouncing a ball.,bounce,bounce-ball-TR,cm
3-ip-IN-s.mp4,A person is bouncing a ball.,bounce,ball-bounce-IN,ip
3-np-IN-s.mp4,A person is bouncing aball.,bounce,ball-bounce-IN,np
3-cs-IN-s.mp4,A person is bouncing a ball.,bounce,ball-bounce-IN,cs
10-rvn-TR-s.mp4,A person is bouncing a basketball.,bounce,bounce-ball-TR,rv
10-rvn-TR-s.mp4,Bouncing a basketball.,bounce,bounce-ball-TR,rv
10-np-TR-s.mp4,A person is bouncing a basketball.,bounce,bounce-ball-TR,np
10-ip-TR-s.mp4,A circular object is bounced repeatedly from above.,bounce,bounce-ball-TR,ip
10-np-TR-s.mp4,A person is bouncing a ball.,bounce,bounce-ball-TR,np
10-rvn-TR-s.mp4,An object bouncing,bounce,bounce-ball-TR,rv
3-ho-IN-s.mp4,A ball is bouncing around the room.,bounce,ball-bounce-IN,ho
10-ip-TR-s.mp4,A person is bouncing a basketball.,bounce,bounce-ball-TR,ip
3-ho-IN-s.mp4,A ball bounces off the table.,bounce,ball-bounce-IN,ho
3-rvn-IN-s.mp4,A ball bounces down the steps.,bounce,ball-bounce-IN,rv
3-ho-IN-s.mp4,A ball bounces across the table and off it.,bounce,ball-bounce-IN,ho
6-ho-IN-s.mp4,A ball bounces off a woman's arm.,bounce,ball-roll-IN,ho
3-cm-IN-s.mp4,A ball bounces.,bounce,ball-bounce-IN,cm
3-ip-IN-s.mp4,A ball bounces.,bounce,ball-bounce-IN,ip
10-ip-TR-s.mp4,A woman shows and bounces a ball.,bounce,bounce-ball-TR,ip
10-np-TR-s.mp4,A man bouncing a ball.,bounce,bounce-ball-TR,np
4-np-IN-s.mp4,A bouncing ball bounces.,bounce,ball-drop-IN,np
10-rvn-TR-s.mp4,A ball is bouncing.,bounce,bounce-ball-TR,rv
10-ip-TR-s.mp4,A person is bouncing a ball.,bounce,bounce-ball-TR,ip
3-ip-IN-s.mp4,A ball is bouncing.,bounce,ball-bounce-IN,ip
3-np-IN-s.mp4,A ball is bouncing on the ground.,bounce,ball-bounce-IN,np
3-ho-IN-s.mp4,A person bouncing an object out of the way,bounce,ball-bounce-IN,ho
10-np-TR-s.mp4,A person bouncing an object,bounce,bounce-ball-TR,np
